Repository Name,Date Of Event,Doc Class Name,Total Msgs,Total Size In MB,Exported Date,Email Sent Date
carlsbad.branch.h.sv.schwab,2023-07-27,=EMAIL=,3,0.00,2023-08-02 21:56,2023-07-27 - 2023-07-27
executiveservices.sv.schwab,2023-07-27,=EMAIL=,1,0.00,2023-08-02 21:56,2023-07-27 - 2023-07-27
fax.advice.schwab,2023-07-27,=EMAIL=,121,0.06,2023-08-02 21:56,2023-07-27 - 2023-07-27
fax.advice.schwab,2023-07-27,MAILINGLIST,14,0.01,2023-08-02 21:56,2023-07-27 - 2023-07-27
fax.branch.schwab,2023-07-27,=EMAIL=,532,0.28,2023-08-02 21:56,2023-07-27 - 2023-07-27
fax.branch.schwab,2023-07-27,MAILINGLIST,71,0.03,2023-08-02 21:56,2023-07-27 - 2023-07-27
misc.mailouts.schwab,2023-07-27,=EMAIL=,4287042,177685.80,2023-08-02 21:56,2023-07-27 - 2023-07-27
misc.mailouts.schwab,2023-07-27,MAILINGLIST,1687661,2458.82,2023-08-02 21:56,2023-07-27 - 2023-07-27
rrrpsclepsd.sv.schwab,2023-07-27,=EMAIL=,1,0.00,2023-08-02 21:56,2023-07-27 - 2023-07-27
schwab.dom.repository,2023-07-27,=EMAIL=,1613517,69479.29,2023-08-02 21:56,2023-07-27 - 2023-07-27
sps.external.email.sv.schwab,2023-07-27,=EMAIL=,1,0.00,2023-08-02 21:56,2023-07-27 - 2023-07-27
spsdenvertrading.sv.schwab,2023-07-27,=EMAIL=,1,0.00,2023-08-02 21:56,2023-07-27 - 2023-07-27
carlsbad.branch.h.sv.schwab,2023-07-25,=EMAIL=,1,0.00,2023-08-02 21:57,2023-07-25 - 2023-07-25
fax.advice.schwab,2023-07-25,=EMAIL=,97,0.05,2023-08-02 21:57,2023-07-25 - 2023-07-25
fax.advice.schwab,2023-07-25,MAILINGLIST,5,0.00,2023-08-02 21:57,2023-07-25 - 2023-07-25
fax.branch.schwab,2023-07-25,=EMAIL=,351,0.18,2023-08-02 21:57,2023-07-25 - 2023-07-25
fax.branch.schwab,2023-07-25,MAILINGLIST,39,0.02,2023-08-02 21:57,2023-07-25 - 2023-07-25
misc.mailouts.schwab,2023-07-25,=EMAIL=,7320653,124234.88,2023-08-02 21:57,2023-07-25 - 2023-07-25
misc.mailouts.schwab,2023-07-25,MAILINGLIST,693092,1011.28,2023-08-02 21:57,2023-07-25 - 2023-07-25
schwab.dom.repository,2023-07-25,=EMAIL=,3782736,179120.60,2023-08-02 21:57,2023-07-25 - 2023-07-25
sps.external.email.sv.schwab,2023-07-25,MAILINGLIST,1,0.00,2023-08-02 21:57,2023-07-25 - 2023-07-25
carlsbad.branch.h.sv.schwab,2023-07-24,MAILINGLIST,1,0.00,2023-08-02 21:58,2023-07-24 - 2023-07-24
fax.advice.schwab,2023-07-24,=EMAIL=,61,0.03,2023-08-02 21:58,2023-07-24 - 2023-07-24
fax.advice.schwab,2023-07-24,MAILINGLIST,22,0.01,2023-08-02 21:58,2023-07-24 - 2023-07-24
fax.branch.schwab,2023-07-24,=EMAIL=,227,0.12,2023-08-02 21:58,2023-07-24 - 2023-07-24
fax.branch.schwab,2023-07-24,MAILINGLIST,107,0.05,2023-08-02 21:58,2023-07-24 - 2023-07-24
misc.mailouts.schwab,2023-07-24,=EMAIL=,1460004,66471.49,2023-08-02 21:58,2023-07-24 - 2023-07-24
misc.mailouts.schwab,2023-07-24,MAILINGLIST,2333091,3389.62,2023-08-02 21:58,2023-07-24 - 2023-07-24
schwab.dom.repository,2023-07-24,=EMAIL=,611952,25643.60,2023-08-02 21:58,2023-07-24 - 2023-07-24
carlsbad.branch.h.sv.schwab,2023-07-23,MAILINGLIST,1,0.00,2023-08-02 21:59,2023-07-23 - 2023-07-23
fax.advice.schwab,2023-07-23,=EMAIL=,1,0.00,2023-08-02 21:59,2023-07-23 - 2023-07-23
fax.advice.schwab,2023-07-23,MAILINGLIST,36,0.02,2023-08-02 21:59,2023-07-23 - 2023-07-23
fax.branch.schwab,2023-07-23,=EMAIL=,8,0.00,2023-08-02 21:59,2023-07-23 - 2023-07-23
fax.branch.schwab,2023-07-23,MAILINGLIST,119,0.05,2023-08-02 21:59,2023-07-23 - 2023-07-23
misc.mailouts.schwab,2023-07-23,=EMAIL=,223906,13043.36,2023-08-02 21:59,2023-07-23 - 2023-07-23
misc.mailouts.schwab,2023-07-23,MAILINGLIST,2334462,3401.16,2023-08-02 21:59,2023-07-23 - 2023-07-23
schwab.dom.repository,2023-07-23,=EMAIL=,25927,881.36,2023-08-02 21:59,2023-07-23 - 2023-07-23
sps.external.email.sv.schwab,2023-07-23,=EMAIL=,1,0.00,2023-08-02 21:59,2023-07-23 - 2023-07-23
fax.advice.schwab,2023-07-22,=EMAIL=,27,0.01,2023-08-02 22:00,2023-07-22 - 2023-07-22
fax.advice.schwab,2023-07-22,MAILINGLIST,45,0.02,2023-08-02 22:00,2023-07-22 - 2023-07-22
fax.branch.schwab,2023-07-22,=EMAIL=,100,0.05,2023-08-02 22:00,2023-07-22 - 2023-07-22
fax.branch.schwab,2023-07-22,MAILINGLIST,249,0.12,2023-08-02 22:00,2023-07-22 - 2023-07-22
